time,enrolled,available,waitlisted,total
2022-11-22T09:05:07,240,0,88,240
2022-11-22T09:14:23,240,0,88,240
2022-11-22T09:23:39,240,0,88,240
2022-11-22T09:32:54,240,0,88,240
2022-11-22T09:42:10,240,0,88,240
2022-11-22T09:51:26,240,0,88,240
2022-11-22T10:00:41,240,0,88,240
2022-11-22T10:09:58,240,0,88,240
2022-11-22T10:19:17,240,0,88,240
2022-11-22T10:28:34,240,0,88,240
2022-11-22T10:37:50,240,0,88,240
2022-11-22T10:47:17,240,0,88,240
2022-11-22T10:56:33,240,0,88,240
2022-11-22T11:05:51,240,0,88,240
2022-11-22T11:15:07,240,0,88,240
2022-11-22T11:24:24,240,0,88,240
2022-11-22T11:33:41,240,0,88,240
2022-11-22T11:42:59,240,0,88,240
2022-11-22T11:52:15,240,0,88,240
2022-11-22T12:01:43,240,0,88,240
2022-11-22T12:11:00,240,0,88,240
2022-11-22T12:20:17,240,0,88,240
2022-11-22T12:29:35,240,0,88,240
2022-11-22T12:38:53,240,0,88,240
2022-11-22T12:48:10,241,0,87,240
2022-11-22T12:57:27,241,0,87,240
2022-11-22T13:06:44,241,0,87,240
2022-11-22T13:16:03,241,0,87,240
2022-11-22T13:25:52,241,0,87,240
2022-11-22T13:35:11,241,0,87,240
2022-11-22T13:44:28,241,0,87,240
2022-11-22T13:53:47,241,0,87,240
2022-11-22T14:03:05,241,0,87,240
2022-11-22T14:12:23,241,0,87,240
2022-11-22T14:21:40,241,0,87,240
2022-11-22T14:30:57,241,0,87,240
2022-11-22T14:40:27,241,0,87,240
2022-11-22T14:49:46,241,0,87,240
2022-11-22T14:59:03,241,0,87,240
2022-11-22T15:08:20,241,0,87,240
2022-11-22T15:17:37,241,0,87,240
2022-11-22T15:26:53,241,0,87,240
2022-11-22T15:36:10,241,0,87,240
2022-11-22T15:45:27,241,0,87,240
2022-11-22T15:54:55,241,0,87,240
2022-11-22T16:04:11,241,0,87,240
2022-11-22T16:13:27,241,0,87,240
2022-11-22T16:22:44,241,0,87,240
2022-11-22T16:32:01,241,0,87,240
2022-11-22T16:41:17,241,0,87,240
2022-11-22T16:50:33,241,0,87,240
2022-11-22T16:59:49,241,0,87,240
2022-11-22T17:09:06,241,0,87,240
2022-11-22T17:18:22,241,0,87,240
2022-11-22T17:28:04,241,0,87,240
2022-11-22T17:37:21,241,0,87,240
2022-11-22T17:46:39,241,0,87,240
2022-11-22T17:55:56,241,0,87,240
2022-11-22T18:05:14,241,0,87,240
2022-11-22T18:14:31,241,0,87,240
2022-11-22T18:23:47,241,0,87,240
2022-11-22T18:33:03,241,0,87,240
2022-11-22T18:42:20,241,0,87,240
2022-11-22T18:51:36,241,0,87,240
2022-11-22T19:01:04,241,0,87,240
2022-11-22T19:10:21,241,0,87,240
2022-11-22T19:19:36,241,0,87,240
2022-11-22T19:28:51,241,0,87,240
2022-11-22T19:38:06,241,0,87,240
2022-11-22T19:47:21,241,0,87,240
2022-11-22T19:56:34,241,0,87,240
2022-11-22T20:05:49,241,0,87,240
2022-11-22T20:15:03,241,0,87,240
2022-11-22T20:24:27,241,0,87,240
2022-11-22T20:33:42,241,0,87,240
2022-11-22T20:42:55,241,0,87,240
2022-11-22T20:52:09,241,0,87,240
2022-11-22T21:01:23,241,0,87,240
2022-11-22T21:10:37,241,0,87,240
2022-11-22T21:19:50,241,0,87,240
2022-11-22T21:29:04,241,0,87,240
2022-11-22T21:38:19,241,0,87,240
2022-11-22T21:47:32,241,0,87,240
2022-11-22T21:56:45,241,0,87,240
2022-11-22T22:05:58,241,0,87,240
2022-11-22T22:15:12,241,0,87,240
2022-11-22T22:24:25,241,0,87,240
2022-11-22T22:33:38,241,0,87,240
2022-11-22T22:42:51,241,0,87,240
2022-11-22T22:52:13,241,0,87,240
2022-11-22T23:01:27,241,0,87,240
2022-11-22T23:10:41,241,0,87,240
2022-11-22T23:19:54,241,0,87,240
2022-11-22T23:29:07,241,0,87,240
2022-11-22T23:38:20,241,0,87,240
2022-11-22T23:47:34,241,0,87,240
2022-11-22T23:56:46,241,0,87,240
2022-11-23T00:06:01,241,0,87,240
2022-11-23T00:15:16,241,0,87,240
2022-11-23T00:24:32,241,0,87,240
2022-11-23T00:33:48,241,0,87,240
2022-11-23T00:43:04,241,0,87,240
2022-11-23T00:52:20,241,0,87,240
2022-11-23T01:01:36,241,0,87,240
2022-11-23T01:11:04,241,0,87,240
2022-11-23T01:20:22,241,0,87,240
2022-11-23T01:29:38,241,0,87,240
2022-11-23T01:38:56,241,0,87,240
2022-11-23T01:48:11,241,0,87,240
2022-11-23T01:57:28,241,0,87,240
2022-11-23T02:06:43,241,0,87,240
2022-11-23T02:15:57,241,0,87,240
2022-11-23T02:25:12,241,0,87,240
2022-11-23T02:34:29,241,0,87,240
2022-11-23T02:43:45,241,0,87,240
2022-11-23T02:53:00,241,0,87,240
2022-11-23T03:02:16,241,0,87,240
2022-11-23T03:11:30,241,0,87,240
2022-11-23T03:20:43,241,0,87,240
2022-11-23T03:29:57,241,0,87,240
2022-11-23T03:39:12,241,0,87,240
2022-11-23T03:48:28,241,0,87,240
2022-11-23T03:57:44,241,0,87,240
2022-11-23T04:07:37,241,0,87,240
2022-11-23T04:20:53,241,0,87,240
2022-11-23T04:30:36,241,0,87,240
2022-11-23T04:39:56,241,0,87,240
2022-11-23T04:49:13,241,0,87,240
2022-11-23T04:58:29,241,0,87,240
2022-11-23T05:07:42,241,0,87,240
2022-11-23T05:16:56,241,0,87,240
2022-11-23T05:26:08,241,0,87,240
2022-11-23T05:35:21,241,0,87,240
2022-11-23T05:46:22,241,0,87,240
2022-11-23T05:55:39,241,0,87,240
2022-11-23T06:04:57,241,0,87,240
2022-11-23T06:14:14,241,0,87,240
2022-11-23T06:23:32,241,0,87,240
2022-11-23T06:32:48,241,0,87,240
2022-11-23T06:42:03,241,0,87,240
2022-11-23T06:51:18,241,0,87,240
2022-11-23T07:00:32,241,0,87,240
2022-11-23T07:09:48,241,0,87,240
2022-11-23T07:19:04,241,0,87,240
2022-11-23T07:28:20,241,0,87,240
2022-11-23T07:37:36,241,0,87,240
2022-11-23T07:46:53,241,0,87,240
2022-11-23T07:56:10,241,0,87,240
2022-11-23T08:05:26,241,0,87,240
2022-11-23T08:14:43,241,0,87,240
2022-11-23T08:24:00,241,0,87,240
2022-11-23T08:33:25,241,0,87,240
2022-11-23T08:42:41,241,0,87,240
2022-11-23T08:51:57,241,0,87,240
2022-11-23T09:01:14,241,0,87,240
2022-11-23T09:10:30,241,0,87,240
2022-11-23T09:19:46,241,0,87,240
2022-11-23T09:29:02,241,0,87,240
2022-11-23T09:38:18,241,0,87,240
2022-11-23T09:47:35,241,0,87,240
2022-11-23T09:56:51,241,0,87,240
2022-11-23T10:06:07,241,0,87,240
2022-11-23T10:15:23,241,0,87,240
2022-11-23T10:24:39,241,0,87,240
2022-11-23T10:33:55,241,0,87,240
2022-11-23T10:43:10,241,0,87,240
2022-11-23T10:52:27,241,0,87,240
2022-11-23T11:01:42,241,0,87,240
2022-11-23T11:10:58,241,0,87,240
2022-11-23T11:20:14,241,0,87,240
2022-11-23T11:29:43,241,0,87,240
2022-11-23T11:38:58,241,0,87,240
2022-11-23T11:48:15,241,0,87,240
2022-11-23T11:57:31,241,0,87,240
2022-11-23T12:06:48,241,0,87,240
2022-11-23T12:16:04,241,0,87,240
2022-11-23T12:25:19,241,0,87,240
2022-11-23T12:34:35,241,0,87,240
2022-11-23T12:43:52,241,0,87,240
2022-11-23T12:53:09,241,0,87,240
2022-11-23T13:02:27,241,0,87,240
2022-11-23T13:11:54,241,0,87,240
2022-11-23T13:21:11,241,0,87,240
2022-11-23T13:30:27,241,0,87,240
2022-11-23T13:39:44,241,0,87,240
2022-11-23T13:49:00,241,0,87,240
2022-11-23T13:58:17,241,0,87,240
2022-11-23T14:07:35,241,0,87,240
2022-11-23T14:16:53,241,0,87,240
2022-11-23T14:26:11,241,0,87,240
2022-11-23T14:35:28,241,0,87,240
2022-11-23T14:44:45,241,0,87,240
2022-11-23T14:54:01,241,0,87,240
2022-11-23T15:03:28,241,0,87,240
2022-11-23T15:12:44,241,0,87,240
2022-11-23T15:22:00,241,0,87,240
2022-11-23T15:31:17,241,0,87,240
2022-11-23T15:40:34,241,0,87,240
2022-11-23T15:49:51,241,0,87,240
2022-11-23T15:59:08,241,0,87,240
2022-11-23T16:08:24,241,0,87,240
2022-11-23T16:17:40,241,0,87,240
2022-11-23T16:26:56,241,0,87,240
2022-11-23T16:36:12,241,0,87,240
2022-11-23T16:45:28,241,0,87,240
2022-11-23T16:54:44,241,0,87,240
2022-11-23T17:03:59,241,0,87,240
2022-11-23T17:13:16,241,0,87,240
2022-11-23T17:22:42,241,0,87,240
2022-11-23T17:31:57,241,0,87,240
2022-11-23T17:41:13,241,0,87,240
2022-11-23T17:50:29,241,0,87,240
2022-11-23T17:59:44,241,0,87,240
2022-11-23T18:09:00,241,0,87,240
2022-11-23T18:18:15,241,0,87,240
2022-11-23T18:27:31,241,0,87,240
2022-11-23T18:36:49,241,0,87,240
2022-11-23T18:46:06,241,0,87,240
2022-11-23T18:55:23,241,0,87,240
2022-11-23T19:04:39,241,0,87,240
2022-11-23T19:13:56,241,0,87,240
2022-11-23T19:23:13,241,0,87,240
2022-11-23T19:32:30,241,0,87,240
2022-11-23T19:41:48,241,0,87,240
2022-11-23T19:51:05,241,0,87,240
2022-11-23T20:00:22,241,0,87,240
2022-11-23T20:09:38,241,0,87,240
2022-11-23T20:19:05,241,0,87,240
2022-11-23T20:28:22,241,0,87,240
2022-11-23T20:37:41,241,0,87,240
2022-11-23T20:46:58,241,0,87,240
2022-11-23T20:56:14,241,0,87,240
2022-11-23T21:05:30,241,0,87,240
2022-11-23T21:14:48,241,0,87,240
2022-11-23T21:24:04,241,0,87,240
2022-11-23T21:33:21,241,0,87,240
2022-11-23T21:42:37,241,0,87,240
2022-11-23T21:51:53,241,0,87,240
2022-11-23T22:01:09,241,0,87,240
2022-11-23T22:10:26,241,0,87,240
2022-11-23T22:19:44,241,0,87,240
2022-11-23T22:29:01,241,0,87,240
2022-11-23T22:38:18,241,0,87,240
2022-11-23T22:47:35,241,0,87,240
2022-11-23T22:56:51,241,0,87,240
2022-11-23T23:06:07,241,0,87,240
2022-11-23T23:15:25,241,0,87,240
2022-11-23T23:24:42,241,0,87,240
2022-11-23T23:33:59,241,0,87,240
2022-11-23T23:43:26,241,0,87,240
2022-11-23T23:52:43,241,0,87,240
2022-11-24T00:02:00,241,0,87,240
2022-11-24T00:11:19,241,0,87,240
2022-11-24T00:20:39,241,0,87,240
2022-11-24T00:29:58,241,0,87,240
2022-11-24T00:39:19,241,0,87,240
2022-11-24T00:48:39,241,0,87,240
2022-11-24T00:57:59,241,0,87,240
2022-11-24T01:07:20,241,0,87,240
2022-11-24T01:16:41,241,0,87,240
2022-11-24T01:26:00,241,0,87,240
2022-11-24T01:35:18,241,0,87,240
2022-11-24T01:44:35,241,0,87,240
2022-11-24T01:53:52,241,0,87,240
2022-11-24T02:03:10,241,0,87,240
2022-11-24T02:12:29,241,0,87,240
2022-11-24T02:21:49,241,0,87,240
2022-11-24T02:31:10,241,0,87,240
2022-11-24T02:40:31,241,0,87,240
2022-11-24T02:49:49,241,0,87,240
2022-11-24T02:59:07,241,0,87,240
2022-11-24T03:08:24,241,0,87,240
2022-11-24T03:17:40,241,0,87,240
2022-11-24T03:26:57,241,0,87,240
2022-11-24T03:36:14,241,0,87,240
2022-11-24T03:45:35,241,0,87,240
2022-11-24T03:54:54,241,0,87,240
2022-11-24T04:04:17,241,0,87,240
2022-11-24T04:22:46,241,0,87,240
2022-11-24T04:32:09,241,0,87,240
2022-11-24T04:41:31,241,0,87,240
2022-11-24T04:52:01,241,0,87,240
2022-11-24T05:01:38,241,0,87,240
2022-11-24T05:11:01,241,0,87,240
2022-11-24T05:20:23,241,0,87,240
2022-11-24T05:29:44,241,0,87,240
2022-11-24T05:39:04,241,0,87,240
2022-11-24T05:48:26,241,0,87,240
2022-11-24T05:57:48,241,0,87,240
2022-11-24T06:07:10,241,0,87,240
2022-11-24T06:16:31,241,0,87,240
2022-11-24T06:25:53,241,0,87,240
2022-11-24T06:35:15,241,0,87,240
2022-11-24T06:44:38,241,0,87,240
2022-11-24T06:54:00,241,0,87,240
2022-11-24T07:03:25,241,0,87,240
2022-11-24T07:12:48,241,0,87,240
2022-11-24T07:22:11,241,0,87,240
2022-11-24T07:31:34,241,0,87,240
2022-11-24T07:40:57,241,0,87,240
2022-11-24T07:50:20,241,0,87,240
2022-11-24T07:59:43,241,0,87,240
2022-11-24T08:09:06,241,0,87,240
2022-11-24T08:18:28,241,0,87,240
2022-11-24T08:27:51,241,0,87,240
2022-11-24T08:37:13,241,0,87,240
2022-11-24T08:46:34,241,0,87,240
